ID,Depth,1302,1300,1298,1296,1292,1292',1050-5,1050-6,1048-5,1048-6,1036-5,1036-6,1034-5,1034-6,1032-5,1032-6,1022,1020,1018
7_2_65,59.35,17781.52148,2817.266653,3781.000956,4397.43393,89.88598706,2.631590762,1205.520286,378.3312179,24.02756782,21.78499483,15470.25252,0,2458.56939,0,725.7011985,0,53734.49753,6193.071282,3641.915664
7_2_130,59.82,29019.49044,4192.185784,5891.80265,7022.912491,162.2521545,12.20581288,1576.196227,0,0,0,18161.48316,0,2273.829398,0,599.560883,0,109310.1224,7856.626282,3851.530062
8_3_20,62.9,57377.28574,6646.226956,11824.88158,16301.02872,323.1441738,0,5401.933803,989.4261331,79.66526752,0,65311.24558,0,8173.007171,0,3624.408963,0,189719.279,19398.75029,12719.28653
8_3_85,63.37,125688.1355,12874.07299,25459.06074,34812.3103,400.4205958,0,13111.2227,2395.463942,232.4283054,0,162963.4034,0,22442.16921,0,10151.2579,0,381913.1604,44838.38337,30969.53162
8_3_150,63.85,20735.77726,2882.275097,4340.725815,5145.885462,114.2231446,16.61034204,1049.301735,0,20.1814685,18.37120468,17111.07622,0,1764.017588,0,460.3089215,0,130174.7414,5521.624997,2890.30856
9_3_30,65.97,75252.99568,12977.53033,15471.33405,12207.08392,284.818957,38.45528231,9558.971521,1539.521575,159.7326385,0,67585.28054,0,8698.115593,0,3314.315127,0,197326.5469,14801.2919,8749.490875
9_3_85,66.37,44064.1206,5190.744009,5701.173221,4557.127385,152.5663399,18.03552937,6830.861827,0,48.50608163,66.56534197,32617.30233,0,2605.896685,0,1469.041329,0,99631.80018,8398.481563,4648.301732
9_3_150,66.85,92745.91433,10338.26717,10705.6777,5711.704949,349.8038254,51.80796849,22717.4058,0,216.2235341,188.0245581,63007.43426,0,3344.050189,0,2148.983234,0,188955.289,10692.6139,5931.671085
11_3_120,70.31,44295.84715,2066.248275,967.0670246,234.405998,311.9785236,55.58510636,2661.69187,3030.260964,103.2782659,144.0470009,11898.53269,9051.266245,3202.555823,3192.785744,199.442397,173.0157577,33996.89446,13980.35618,2014.305605
11_2_25,70.71,15634.06916,822.9590477,509.5212121,191.6895723,110.5865528,17.1661453,1628.313833,867.1263769,38.75261992,51.05054682,4430.3748,3354.36699,782.7595838,740.3605926,81.31659883,31.55396677,14582.47638,3754.974314,507.3419967
11_2_145,70.86,14961.35914,701.4586736,405.0913054,125.1560037,130.4511809,16.68011673,2040.647491,882.1913112,52.35312937,62.19164686,4787.683962,3475.430024,907.9212024,858.6812317,96.973969,38.0631533,13738.64774,4106.115729,616.8832711
11_2_50,70.94,24390.98733,1067.116469,446.9627994,55.02373279,163.2022604,27.68855171,3600.108526,1665.467171,97.20833285,161.455039,7370.423904,6889.404029,1762.502745,1924.92759,160.163273,102.0534368,21329.33712,7686.859446,1019.470329
11_2_120,71.45,797.5910535,1300.600811,462.7545604,94.15043165,169.4285208,24.98084187,1615.558271,844.5575219,43.63568946,58.64905114,4191.138996,3402.092384,812.5609163,811.0757368,95.79096455,46.53147859,12928.62964,4112.598483,610.6013737
11_1_76,72.18,21113.1909,1119.046729,670.0667583,320.4790471,138.4205381,18.75796564,2632.206041,1241.099881,70.78970935,102.1293832,6881.908627,4559.861171,1506.483787,1314.514178,193.3460775,74.67511584,20300.6204,5503.503883,908.1408875
12_3_80,73.15,88256.03505,3889.826664,1493.232965,179.8724951,267.2387169,45.50577575,10020.80891,5515.294008,282.1311231,407.4784099,26008.55192,20936.13194,6700.132392,5841.004719,463.5387218,233.0479379,63350.66563,21165.61237,2650.848267
12_2_110,74.47,140192.0453,1572.097281,593.2570936,55.73124264,246.316365,40.10279379,4426.354515,5457.170636,611.6075815,1125.749478,15197.60376,23115.6285,6313.957449,11642.96128,608.7602351,920.7204727,49526.53148,19193.64945,1924.841391
12_2_140,74.6,45763.57113,606.2619088,281.0131162,31.68894155,65.4485545,13.68176954,1898.882364,2474.82044,213.478552,474.4138248,6412.531878,9674.222788,3295.634583,5250.425074,264.3710535,509.3391491,24833.85351,11423.15787,1309.15515
12_1_85,75.07,26309.20844,435.4292754,454.887773,386.9557399,479.8640876,157.3507822,439.7602746,625.5503995,71.27992206,113.5359494,1738.767771,2305.110134,561.3913842,1105.875043,83.44037596,113.9345076,12757.78638,2246.495506,730.1852155
12_1_150,75.55,16388.50356,327.1287398,353.4935513,335.8678125,668.729384,231.6048484,398.6881516,724.8924917,86.54400859,129.7732885,1639.37237,2917.669557,632.0874229,1446.30489,105.8243451,138.7687074,11895.77344,2459.423654,721.6454406
12_1_145,75.82,26948.81296,802.6092696,972.8955753,990.6698655,612.7931888,167.2041751,818.3859679,1049.616072,128.6982854,165.0972407,3677.200809,4390.780138,995.5638104,1868.117531,171.9855452,159.1723346,32620.55677,4834.529063,1778.477951
13_3_50,75.91,9882.27136,323.5108004,334.6508385,295.248226,346.3150042,113.5434118,316.0210476,432.3587729,40.14693577,110.6095376,1437.874367,1937.783577,439.1042025,1007.717551,93.92739257,103.1259875,11787.80093,1862.324706,444.6866269
