Sample ID,Nu Cluster,Type,Latitude,Longitude,Depth (m),Elevation,Distance to land (km),MAAT,pH,744,1302,1300,1298,1296,1292,1292',1050-5,1050-6,1048-5,1048-6,1036-5,1036-6,1034-5,1034-6,1032-5,1032-6,1022,1020,1018
GR53,Soil-type,S,20.12908,78.99722,NA,NA,0,27.52097504,NA,,0.015846165,0.00064376,0.000870929,0.000591345,0.014521132,0.002094159,0.000550799,0.003529679,0,0.000455271,0.005055861,0.024976951,0.001764624,0.009823234,0.000129072,0.000754177,0.044177812,0.022286945,0.003032511
GR54,Soil-type,S,19.81588,78.57844,NA,NA,0,27.36843266,NA,,0.002113737,0.0003305,0.000496684,0.000345377,0.006453311,0.001177255,6.42E-05,0.000649174,0,0,0.00063864,0.006101775,0.000245657,0.001905192,0,0,0.012269256,0.005570446,0.000780332
GR55,Soil-type,S,19.02217,76.72588,NA,NA,0,27.36221795,NA,,0.002694208,0.000384501,0.00060263,0.000397458,0.008005189,0.001301854,0.000120138,0.000950759,0,0,0.001540211,0.0104599,0.000234086,0.003251315,0,0,0.018791975,0.00802054,0.000772848
GR56,Soil-type,S,19.54141,76.9693,NA,NA,0,27.0034609,NA,,0.00218629,0.000207087,0.000334888,0.00022025,0.005547788,0.001575225,7.00E-05,0.000485727,0,0,0.000594781,0.005178571,0.00013538,0.0012726,0,0,0.010697601,0.004369247,0.000538964
GR57,Soil-type,S,19.5565,74.92853,0,NA,0,26.35480266,NA,,0.014266838,0.002692268,0.004665504,0.002209578,0.038274946,0.005148503,0.002646935,0.007923012,0,0.000956198,0.019910917,0.045561593,0.005672356,0.015381403,0,0.000731164,0.062891164,0.02364672,0.001732786
GR164,Soil-type,R,19.09463801,77.04816604,NA,NA,0,27.35049476,8.12,,0.027157643,0.001725383,0.001729879,0.001628606,0.02766262,0.005595925,0.001554938,0.0113716,0.000241346,0.001471918,0.011399679,0.055380205,0.002746818,0.022996622,0.000434363,0.001637815,0.064972573,0.024919107,0.003198616
GR166,Soil-type,R,19.62356804,75.02480001,NA,NA,0,26.51016992,8.02,,0.056813374,0.001968304,0.001850556,0.001224175,0.021729278,0.002837771,0.003499564,0.00785341,0.000527989,0.00123469,0.020397141,0.03991664,0.006074359,0.015550633,0.000555147,0.001353191,0.081718098,0.037765041,0.004752178
GR167,Soil-type,R,19.87624504,74.51299598,NA,NA,0,26.35480266,8.1,,0.20287293,0.00207981,0.001545994,0.001384451,0.019478446,0.002293661,0.006647299,0.065566049,0.001251043,0.005755349,0.033492112,0.253381736,0.011825622,0.08985677,0.000705297,0.005740027,0.24601791,0.069772981,0.006639945
GR168,Soil-type,R,20.10623599,74.06175102,NA,NA,0,25.16518399,8.34,,0.070556967,0.002515642,0.000466544,0.000455417,0.007608343,0.001124084,0.002828258,0.009684956,0.000305813,0.000685977,0.022731244,0.044111069,0.005611777,0.008840308,0.000200061,0.000442338,0.051653687,0.014353553,0.001077071
GR169,Soil-type,R,16.6959,82.02734,NA,NA,0,28.1055795,8.37,,0.01006327,0.000839807,0.000646613,0.000680892,0.009783929,0.000669752,0.000393139,0.00123179,0.000145631,0.000177145,0.00296923,0.00794527,0.000786863,0.004477835,0.000112138,0.000682304,0.031159993,0.011924751,0.002473625
GR170,Soil-type,R,16.94615,81.75377,NA,NA,0,27.93615861,8.67,,0.006070069,0.001254644,0.001007009,0.001071816,0.011731248,0.000708049,0.000168096,0.001114278,0,0.000177276,0.001052379,0.004966706,0.000338544,0.003398466,7.81E-05,0.000439923,0.012320894,0.00498712,0.001080587
GR171,Soil-type,R,16.89347,81.73952,NA,NA,0,27.93615861,9.14,,0.000478184,0.000056262,0.000035891,4.21911E-05,0.000491536,4.09E-05,0,0.000146925,0,0,0.000107911,0.000744667,3.56E-05,0.000477014,0,6.19E-05,0.002174106,0.000816042,0.000174392
GR172,Soil-type,R,16.78003,81.84998,NA,NA,0,27.93615861,8.95,,0.001299964,8.25128E-05,4.19269E-05,5.73729E-05,0.000611188,5.22E-05,2.61E-05,0.000157565,0,0,0.000199448,0.000822669,5.78E-05,0.000590666,0,8.74E-05,0.002430575,0.001183791,0.000261124
GR173,Soil-type,R,16.6919,81.80386,NA,NA,0,27.93615861,9.16,,0.000245378,4.35126E-05,2.73466E-05,3.37033E-05,0.000333428,2.82E-05,0,7.26E-05,0,0,9.41E-05,0.000390213,4.07E-05,0.000360127,0,6.09E-05,0.00103874,0.000611892,0.000160871
GR174,Soil-type,R,16.452,81.78428,NA,NA,0,27.97966143,8.93,,0.00810644,0.001753419,0.000982686,0.000768566,0.019261512,0.000579843,0.000187529,0.000486596,0,0,0.001146588,0.003343488,0.00031592,0.001859248,0,0.000303892,0.014769805,0.005639999,0.001420643
GR175,Soil-type,R,16.52668,81.95644,NA,NA,0,27.93615861,8.77,,0.003282775,0.000413346,0.000256356,0.000239184,0.004138511,0.00034081,0.000125006,0.000375987,0,0,0.000884555,0.002435935,0.000238274,0.001243518,4.06E-05,0.000197542,0.010933385,0.003933047,0.00090247
GR176,Soil-type,R,17.63339,81.63596,NA,NA,0,25.61744389,7.51,,0.000931899,0.000128591,0.000122428,0.000090057,0.00101892,5.26E-05,0.000171136,0.000363188,0,0,0.000812227,0.002099111,8.68E-05,0.000553527,0,4.64E-05,0.006403643,0.001047103,0.000183883
GR177,Soil-type,R,17.88569,81.39498,NA,NA,0,27.48206258,7.11,,0.007410555,0.001915368,0.001785204,0.001663282,0.014711661,0.000703596,0.00039381,0.002309022,0,0.000190066,0.00315385,0.012802183,0.000483308,0.00499883,9.96E-05,0.000397525,0.033318787,0.007748826,0.001442867
